Mode,Image,MainMode,AllMode,Title,Type,Difficulty,PlayTime,Desc,SpecialStartButton
14,resource/Icon/Zombi3,2,1,#CSO_GameMode_Zombi_3,PvP,Normal,12,#CSO_GameMode_Zombi_3_Tooltip,
15,resource/Icon/ZombiSurvival,3,2,#CSO_GameMode_Zombi_Survival,PvE,Easy,13,#CSO_GameMode_Zombi_Survival_Tooltip,
24,resource/Icon/botzombi,4,1,#CSO_GameMode_BotZombie,PvP,Easy,8,#CSO_GameMode_BotZombie_Tooltip,
0,resource/Icon/Original,5,3,#CSO_GameMode_Original,PvP,Hard,10,#CSO_GameMode_Original_Tooltip,
2,resource/Icon/TDeath,6,3,#CSO_GameMode_TeamDeathMatch,PvP,Normal,20,#CSO_GameMode_TeamDeathMatch_Tooltip,
28,resource/Icon/ZombieShelter,7,4,#CSO_GameMode_ZombieShelter_Team,PvE,Hard,23,#CSO_GameMode_ZombieShelter_Team_Tooltip,
32,resource/Icon/Zombieannihilate,8,1,#CSO_GameMode_Zombi_Exterminate,PvP,Hard,8,#CSO_GameMode_Zombi_Exterminate_Tooltip,
40,resource/Icon/Allstar,9,4,#CSO_GameMode_Allstar,PvP,Normal,14,#CSO_GameMode_Allstar_Tooltip,
20,resource/Icon/zombiescape,10,4,#CSO_GameMode_Zombi_Escape,PvP,Normal,18,#CSO_GameMode_Zombi_Escape_Tooltip,
22,resource/Icon/GunDeath,11,3,#CSO_GameMode_GunDeath,PvP,Normal,10.7,#CSO_GameMode_GunDeath_Tooltip,
3,resource/Icon/Bot,12,3,#CSO_GameMode_Bot,PvP,Easy,13,#CSO_GameMode_Bot_Tooltip,
5,resource/Icon/BotTDM,13,3,#CSO_GameMode_BotTDM,PvP,Easy,10,#CSO_GameMode_BotTDM_Tooltip,
4,resource/Icon/BotDM,14,3,#CSO_GameMode_BotDM,PvP,Easy,12,#CSO_GameMode_BotDM_Tooltip,
17,resource/Icon/HumanScenario,15,2,#CSO_GameMode_Human_Scenario,PvE,Easy,13,#CSO_GameMode_Human_Scenario_Tooltip,
29,resource/Icon/Zombi4,16,1,#CSO_GameMode_Zombi_4,PvP,Normal,10,#CSO_GameMode_Zombi_4_Tooltip,
9,resource/Icon/ZombiExpand,17,1,#CSO_GameMode_Zombi_Expand,PvP,Normal,15,#CSO_GameMode_Zombi_Expand_Tooltip,
23,resource/Icon/basic,18,3,#CSO_GameMode_LightOri,PvP,Hard,14,#CSO_GameMode_LightOri_Tooltip,
38,resource/Icon/Studio,fix0,0,#CSO_GameMode_Voxel,,,,#CSO_GameMode_VoxelCreate_Tooltip,#CSO_sandbox_start
100,resource/Icon/custom,fix7,0,#CSO_Match_Mode_RoomList_Custom,,,,#CSO_Custom_Mode_Desc,#CSO_Custom_Mode_Start
101,resource/Icon/SeasonMatch,fix1,unique4,#CSO_SeasonMatch,,,,#CSO_GameMatch_Season_DescPanel_Desc,#CSO_SeasonMatch_Start
42,,99,0,#CSO_GameMode_SeasonOriginal,,,,,
44,,99,0,#CSO_GameMode_SeasonZombi_3,,,,,
