;,,,,,
boxname,relation product id,period,quantity,"grade
0, 1, 2, 3",rate
DecoderA,692,-1,0,4,3
DecoderA,678,-1,0,4,3
DecoderA,380,-1,0,4,3
DecoderA,379,-1,0,4,3
DecoderA,342,-1,0,4,3
DecoderA,341,-1,0,4,3
DecoderA,330,-1,0,4,3
DecoderA,310,-1,0,4,3
DecoderA,309,-1,0,4,3
DecoderA,283,-1,0,4,3
DecoderA,282,-1,0,4,3
DecoderA,244,-1,0,4,3
DecoderA,243,-1,0,4,3
DecoderA,221,-1,0,4,3
DecoderA,220,-1,0,4,3
DecoderA,203,-1,0,4,3
DecoderA,202,-1,0,4,3
DecoderA,172,-1,0,4,3
DecoderA,171,-1,0,4,3
DecoderA,170,-1,0,4,3
DecoderA,169,-1,0,4,3
DecoderA,515,-1,0,4,3
DecoderA,516,-1,0,4,3
DecoderA,254,-1,0,4,3
DecoderA,253,-1,0,4,3
DecoderA,30013,-1,0,3,0
DecoderA,30014,-1,0,3,0
DecoderA,206,-1,0,2,0
DecoderAA,692,-1,0,4,3
DecoderAA,678,-1,0,4,3
DecoderAA,495,-1,0,4,3
DecoderAA,496,-1,0,4,3
DecoderAA,487,-1,0,4,3
DecoderAA,488,-1,0,4,3
DecoderAA,365,-1,0,4,3
DecoderAA,364,-1,0,4,3
DecoderAA,441,-1,0,4,3
DecoderAA,440,-1,0,4,3
DecoderAA,435,-1,0,4,3
DecoderAA,434,-1,0,4,3
DecoderAA,420,-1,0,4,3
DecoderAA,416,-1,0,4,3
DecoderAA,415,-1,0,4,3
DecoderAA,406,-1,0,4,3
DecoderAA,405,-1,0,4,3
DecoderAA,399,-1,0,4,3
DecoderAA,398,-1,0,4,3
DecoderAA,354,-1,0,4,3
DecoderAA,346,-1,0,4,3
DecoderAA,515,-1,0,4,3
DecoderAA,516,-1,0,4,3
DecoderAA,254,-1,0,4,3
DecoderAA,253,-1,0,4,3
DecoderAA,30013,-1,0,3,0
DecoderAA,30014,-1,0,3,0
DecoderAA,206,-1,0,2,0
DecoderB,691,-1,0,4,3
DecoderB,692,-1,0,4,3
DecoderB,677,-1,0,4,3
DecoderB,678,-1,0,4,3
DecoderB,601,-1,0,4,3
DecoderB,602,-1,0,4,3
DecoderB,589,-1,0,4,3
DecoderB,590,-1,0,4,3
DecoderB,483,-1,0,4,3
DecoderB,548,-1,0,4,3
DecoderB,549,-1,0,4,3
DecoderB,530,-1,0,4,3
DecoderB,531,-1,0,4,3
DecoderB,457,-1,0,4,3
DecoderB,421,-1,0,4,3
DecoderB,429,-1,0,4,3
DecoderB,515,-1,0,4,3
DecoderB,516,-1,0,4,3
DecoderB,254,-1,0,4,3
DecoderB,253,-1,0,4,3
DecoderB,30013,-1,0,3,0
DecoderB,30014,-1,0,3,0
DecoderB,206,-1,0,2,0
EventDecoderAA,691,-1,0,4,3
EventDecoderAA,678,-1,0,4,3
EventDecoderAA,495,-1,0,4,3
EventDecoderAA,496,-1,0,4,3
EventDecoderAA,487,-1,0,4,3
EventDecoderAA,488,-1,0,4,3
EventDecoderAA,365,-1,0,4,3
EventDecoderAA,364,-1,0,4,3
EventDecoderAA,441,-1,0,4,3
EventDecoderAA,440,-1,0,4,3
EventDecoderAA,435,-1,0,4,3
EventDecoderAA,434,-1,0,4,3
EventDecoderAA,420,-1,0,4,3
EventDecoderAA,416,-1,0,4,3
EventDecoderAA,415,-1,0,4,3
EventDecoderAA,406,-1,0,4,3
EventDecoderAA,405,-1,0,4,3
EventDecoderAA,399,-1,0,4,3
EventDecoderAA,398,-1,0,4,3
EventDecoderAA,354,-1,0,4,3
EventDecoderAA,346,-1,0,4,3
EventDecoderAA,515,-1,0,4,3
EventDecoderAA,516,-1,0,4,3
EventDecoderAA,254,-1,0,4,3
EventDecoderAA,253,-1,0,4,3
EventDecoderAA,30013,-1,0,4,3
EventDecoderAA,30014,-1,0,4,3
EventDecoderAA,206,-1,0,4,3
EventDecoderAA,692,-1,0,4,3
EventDecoderA,678,-1,0,4,3
EventDecoderA,380,-1,0,4,3
EventDecoderA,379,-1,0,4,3
EventDecoderA,342,-1,0,4,3
EventDecoderA,341,-1,0,4,3
EventDecoderA,330,-1,0,4,3
EventDecoderA,310,-1,0,4,3
EventDecoderA,309,-1,0,4,3
EventDecoderA,283,-1,0,4,3
EventDecoderA,282,-1,0,4,3
EventDecoderA,244,-1,0,4,3
EventDecoderA,243,-1,0,4,3
EventDecoderA,221,-1,0,4,3
EventDecoderA,220,-1,0,4,3
EventDecoderA,203,-1,0,4,3
EventDecoderA,202,-1,0,4,3
EventDecoderA,172,-1,0,4,3
EventDecoderA,171,-1,0,4,3
EventDecoderA,170,-1,0,4,3
EventDecoderA,169,-1,0,4,3
EventDecoderA,515,-1,0,4,3
EventDecoderA,516,-1,0,4,3
EventDecoderA,254,-1,0,4,3
EventDecoderA,253,-1,0,4,3
EventDecoderA,30013,-1,0,4,3
EventDecoderA,30014,-1,0,4,3
EventDecoderA,206,-1,0,4,3
EventDecoderB,691,-1,0,4,3
EventDecoderB,692,-1,0,4,3
EventDecoderB,677,-1,0,4,3
EventDecoderB,678,-1,0,4,3
EventDecoderB,601,-1,0,4,3
EventDecoderB,602,-1,0,4,3
EventDecoderB,589,-1,0,4,3
EventDecoderB,590,-1,0,4,3
EventDecoderB,483,-1,0,4,3
EventDecoderB,548,-1,0,4,3
EventDecoderB,549,-1,0,4,3
EventDecoderB,530,-1,0,4,3
EventDecoderB,531,-1,0,4,3
EventDecoderB,457,-1,0,4,3
EventDecoderB,421,-1,0,4,3
EventDecoderB,429,-1,0,4,3
EventDecoderB,515,-1,0,4,3
EventDecoderB,516,-1,0,4,3
EventDecoderB,254,-1,0,4,3
EventDecoderB,253,-1,0,4,3
EventDecoderB,30013,-1,0,4,3
EventDecoderB,30014,-1,0,4,3
EventDecoderB,206,-1,0,4,3
